"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
10.096754,0.241815,-0.283251872059,3.86520121002
10.129012,0.234269,-0.141182893477,4.49342039727
10.16127,0.232211,0.0183124255137,4.68989785564
10.193528,0.235641,0.173081957275,4.43682980247
10.225786,0.2437015,0.314264850752,3.78190494126
10.258044,0.256564,0.428126786809,2.71825609871
10.290302,0.2725135,0.497684467591,1.36669465697
10.32256,0.2900065,0.517178339912,-0.0428562481995
10.354818,0.306985,0.491924914405,-1.3570297464
10.387076,0.322763,0.425763893194,-2.50028693131
10.419334,0.335454,0.323421063509,-3.36898435401
10.451592,0.3442005,0.197744659378,-3.86609139915
10.48385,0.348145,0.0689669573784,-4.10987605137
10.516108,0.349174,-0.0741357871605,-4.01488015403
10.548366,0.3431715,-0.207934638091,-2.84046634951
10.580624,0.3349395,-0.305994723101,1.13486397309
10.612882,0.3219055,-0.335678574135,13.9740618202
10.64514,0.3095575,0.199812191291,36.5553623552
10.677398,0.3030405,1.71472236,58.6029309207
10.709656,0.3081855,5.83354129208,22.7620089287
10.741914,0.825258,5.37115254786,-71.497320494
10.774172,0.8285165,-0.0751695531169,-123.17457997
10.80643,0.8394925,-5.98535720683,-74.3919612107
10.838688,0.2546775,-6.55053182329,26.3489624501
10.870946,0.2481605,-1.96563212571,65.5602676648
10.903204,0.2533055,-0.268336106117,41.7651306637
10.935462,0.265825,0.37186038261,17.9151834462
10.96772,0.279202,0.447768339981,4.77306695452
10.999978,0.295323,0.483654786754,0.591212753352
11.032236,0.3119585,0.461354978266,-1.46512414097
11.064494,0.3267075,0.382050361323,-2.82113652836
11.096752,0.337512,0.265382489098,-3.69237734858
11.12901,0.3442005,0.13202668072,-4.11000322125
11.161268,0.3462585,-0.00974693616054,-4.14179569024
11.193526,0.3431715,-0.140739850924,-3.90729443896
11.225784,0.337169,-0.267006978458,-3.4039560699
11.258042,0.3256785,-0.375700084733,-2.39677065227
11.2903,0.311444,-0.433590978293,-1.03172920369
11.322558,0.296009,-0.4347724251,0.149678944008
11.354816,0.282975,-0.411734212357,0.981751442434
11.387074,0.269255,-0.373041829417,1.78737260666
11.419332,0.2577645,-0.2978722763,2.58472772895
11.45159,0.249361,-0.198335382782,3.17403293416
11.483848,0.2450735,-0.0920051701215,3.70140640978
11.516106,0.242844,0.0352957233692,4.25739310749
11.548364,0.2461025,0.19641553172,4.30711652899
11.580622,0.2560495,0.339813637961,3.4859806399
11.61288,0.2694265,0.435953871908,2.1135633385
11.645138,0.2855475,0.478928999525,0.585362939057
11.677396,0.3016685,0.469477425066,-0.794811724768
11.709654,0.316932,0.4185275315,-1.48547132112
11.741912,0.3294515,0.338336829451,0.0119539683405
11.77417,0.3387125,0.253272659323,9.17187296408
11.806428,0.3459155,0.568128233479,27.9295568385
11.838686,0.3496885,1.68415242386,50.2394768582
11.870944,0.3493455,5.25566612244,30.1697813734
11.903202,0.8182265,5.22288097354,-32.2813099939
11.93546,0.8158255,1.58417248779,-52.464441008
11.967718,0.8154825,0.392388020887,-30.2984772879
11.999976,0.8154825,-0.00103376595642,-11.6164594897
12.032234,0.815654,0.00236289361468,-2.37413441435
12.064492,0.8158255,-0.00118144680734,-0.710498097005
12.09675,0.8154825,-0.000886085105503,-2.5976990563
12.129008,0.8154825,0.00827012765137,-13.1032025096
12.161266,0.815654,-0.431375765529,-34.4870714925
12.193524,0.8175405,-1.80155870034,-59.5355947911
12.225782,0.8185695,-5.93869005794,-35.5499573158
12.25804,0.287091,-5.9487323558,37.8307490412
12.290298,0.282289,-1.70202180682,63.2085151486
12.322556,0.2930935,-0.138967680713,37.7622044781
12.354814,0.307328,0.38323180813,14.0854626315
12.387072,0.320705,0.348083765612,1.27513234628
12.41933,0.330995,0.256373957192,-2.2807917254
12.451588,0.337512,0.149896063681,-2.51796354407
12.483846,0.340256,0.0539035105848,0.193806890968
12.516104,0.3407705,-0.0159495318991,10.9643323658
12.548362,0.337855,0.37348487197,31.3824733106
12.58062,0.333396,1.7144269983,51.8223603043
12.612878,0.34643,5.41929650526,19.6711450935
12.645136,0.819084,4.92441797384,-64.2251111371
12.677394,0.819084,0.00118144680734,-107.80584612
12.709652,0.8192555,-4.94509329296,-65.5993088167
12.74191,0.345058,-5.46876959032,16.2078006915
12.774168,0.3373405,-1.98940874271,47.3270323589
12.806426,0.315217,-0.789354148153,28.4760057955
12.838684,0.3171035,-0.483211744201,11.2231230634
12.870942,0.2838325,-0.538887424997,5.83913202471
12.9032,0.2683975,-0.221668957227,6.31118660429
12.935458,0.2731995,0.00708868084403,3.9816888164
12.967716,0.2759435,0.0482916382499,1.1988304207
12.999974,0.2769725,0.0314560212454,-0.303554493924
13.032232,0.2780015,-4.77048955894E-17,-0.70121469606
13.06449,0.277144,-0.0310129786926,-0.429071161499
13.096748,0.2745715,-0.0252534255069,-0.159979703961
13.129006,0.275772,-0.0243673404013,-0.289565807568
13.161264,0.2744,-0.0552326382431,-0.126788366335
13.193522,0.2707985,-0.0484393191009,0.432886257778
13.22578,0.270284,-0.0141773616881,0.659884486372
13.258038,0.270627,0.0051688297821,0.566160287787
13.290296,0.2707985,0.0193461914702,0.478794583
13.322554,0.271656,0.035738765922,0.373370755827
13.354812,0.2731995,0.0479962765481,0.160361213589
13.38707,0.2752575,0.0459287446353,-0.0384053025408
13.419328,0.2762865,0.039283106344,-0.0629490886017
13.451586,0.277487,0.0398738297477,-0.0188211416425
13.483844,0.278859,0.0407599148532,-0.0366249242773
13.516102,0.280231,0.0388400637912,-0.0974121249876
13.54836,0.2814315,0.0341142765619,-0.152349511404
13.580618,0.2824605,0.0282070425252,-0.174222730069
13.612876,0.283318,0.0209706808303,-0.135435917901
13.645134,0.283661,0.0180170638119,-0.0517581395169
13.677392,0.284347,0.0191985106192,-0.00356075652697
13.70965,0.285033,0.0180170638119,0.0315381292388
