"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
11.322558,0.577955,-0.138229276459,0.0684173932681
11.354816,0.573496,-0.136014063695,0.0899091023058
11.387074,0.569037,-0.130549872211,0.0563362550516
11.419332,0.565264,-0.13040219136,-0.0265785040763
11.45159,0.560805,-0.135127978589,-0.027468693208
11.483848,0.556346,-0.134684936037,0.0532841780285
11.516106,0.5520585,-0.131878999869,0.162650271357
11.548364,0.547771,-0.125381042429,0.320722427179
11.580622,0.5438265,-0.112975850952,0.531315741773
11.61288,0.540225,-0.0917098084196,0.75538906322
11.645138,0.5376525,-0.0617305956834,0.9046864976
11.677396,0.5362805,-0.0311606595435,0.981624272558
11.709654,0.5355945,0.00147680850917,1.0459722298
11.741912,0.5362805,0.0369202127293,1.08526772147
11.77417,0.5379955,0.0722159360985,1.09963791745
11.806428,0.540911,0.108397744573,1.09086319601
11.838686,0.545027,0.14325042539,1.05347525248
11.870944,0.550172,0.177217021101,0.975011439008
11.903202,0.5565175,0.208082318942,0.823170607108
11.93546,0.5637205,0.233335744449,0.579513124763
11.967718,0.5719525,0.246183978479,0.314491103256
11.999976,0.5798415,0.250466723156,0.134164219141
12.032234,0.5880735,0.253568021025,-0.0111909490847
12.064492,0.5963055,0.251795850814,-0.212119353106
12.09675,0.6045375,0.242048914653,-0.476124015605
12.129008,0.612255,0.220782872121,-0.736440751701
12.161266,0.6189435,0.192575829596,-0.942201611009
12.193524,0.6247745,0.159642999842,-1.13677152123
12.225782,0.629405,0.120064531796,-1.35448634888
12.25804,0.6326635,0.0738404254586,-1.60106873837
12.290298,0.63455,0.0153588084954,-1.76499070849
12.322556,0.633864,-0.0482916382499,-1.64290762757
12.354814,0.63112,-0.100570659475,-1.19717721232
12.387072,0.626661,-0.128925382851,-0.632415793164
12.41933,0.622202,-0.136161744546,-0.21860501678
12.451588,0.617743,-0.136161744546,-0.027341523332
12.483846,0.6134555,-0.135127978589,0.0415845494399
12.516104,0.6089965,-0.133355808378,0.0722324895469
12.548362,0.604709,-0.128334659447,0.0348445460138
12.58062,0.600936,-0.129368425404,-0.0498505913775
12.612878,0.596477,-0.133798850931,-0.0738856979345
12.645136,0.5921895,-0.135571021142,-0.0535385177804
12.677394,0.5877305,-0.137195510502,-0.0268328438282
12.709652,0.5832715,-0.136752467949,-0.010300759953
12.74191,0.578984,-0.137786233906,0.00228905776734
12.774168,0.5743535,-0.137933914757,0.0431105879514
12.806426,0.5698945,-0.133355808378,0.0389139820447
12.838684,0.56595,-0.133798850931,-0.00877472144144
12.870942,0.5613195,-0.135866382844,-0.00941057082126
12.9032,0.557032,-0.134537255186,0.000635849379815
12.935458,0.5527445,-0.135571021142,0.0218732186656
12.967716,0.5482855,-0.135571021142,0.123609119436
12.999974,0.5438265,-0.129959148807,0.307878269706
13.032232,0.5397105,-0.116815553076,0.539327443959
13.06449,0.536109,-0.0959925530962,0.791378138117
13.096748,0.5331935,-0.0645365318508,0.998537866061
13.129006,0.5318215,-0.0280593616743,1.09823904882
13.161264,0.5314785,0.00723636169494,1.15419379424
13.193522,0.5321645,0.0460764254862,1.20111947847
13.22578,0.534394,0.0863932977866,1.19323494616
13.258038,0.537824,0.124347276472,1.1385518995
13.290296,0.5424545,0.160676765798,1.04101260463
13.322554,0.5482855,0.192871191298,0.882940448811
13.354812,0.554974,0.220487510419,0.632034283536
13.38707,0.562863,0.235993999766,0.311439026233
13.419328,0.5705805,0.238504574231,0.0453996457188
13.451586,0.578298,0.23673240402,-0.1518408319
13.483844,0.5860155,0.22860995722,-0.330005828124
